Title,Price,Location,Bedrooms,Baths,Area
10-Marla 3-Bedroom's Tile Flooring (Apartment | Flat) For Sale | Askari 10 Lahore Cantt | @nusratestate,380.0,"Askari 10 - Sector S, Askari 10",3,3,10 Marla
10 MARLA BRAND NEW HOUSE FOR SALE,385.0,"Jubilee Town, Lahore",6,7,10 Marla
End Your Search For Corner House Here And Sale Now,170.0,"Al-Kabir Town - Phase 2, Al-Kabir Town",3,3,3 Marla
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,165.0,"Park View City, Lahore",4,5,5 Marla
3 Years Installment Plan Luxury 1.5 Storey 5 Marla Brand New House In Park View City Lahore,145.0,"Park View City, Lahore",3,2,5 Marla
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,160.0,"Park View City, Lahore",4,5,5 Marla
5 Marla House For Sale In Paragon City Lahore,260.0,"Paragon City, Lahore",3,4,5 Marla
05 MARLA ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,299.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
ON MAIN 70-FEET ROAD 8 MARLA WITH BASEMENT ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,409.99999999999994,"DHA 9 Town - Block D, DHA 9 Town",4,5,8 Marla
Luxury Modern Line House 1 Kanal House + 1 Kanal Lush Green Lawn Near DHA RAYA,1450.0,"DHA Phase 6, DHA Defence",6,7,2 Kanal
MAIN 100 FIT ROAD 2 KANAL MODERN HOUSE WITH SWIMMING POOL,2800.0,"DHA Phase 6, DHA Defence",6,6,2 Kanal
Avail Yourself A Great 20 Marla House In DHA Phase 6 -,925.0,"DHA Phase 6 - Block J, DHA Phase 6",5,6,1 Kanal
HALL IN BASEMENT + 4 BED + 45FT ROAD NEAR PARK .,425.0,"DHA Phase 7 - Block Y, DHA Phase 7",4,7,10 Marla
10 Marla Ultra Luxury Full Basement Bungalow For Sale Elegant Living & Premium Location,465.00000000000006,"DHA Phase 6, DHA Defence",4,5,10 Marla
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa For Sale In DHA Lahore Phase 7 Prime Location,689.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
Beautifully Designed 5 Marla House Featuring Modern Architecture & Spacious Living in DHA 9 Town,319.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
100% ORIGINAL PICTURES 1 KANAL SEMI FURNISHED BRAND NEW BUNGALOW FOR SALE ON 70 FT ROAD FACING PARK,790.0,"DHA Phase 6 - Block B, DHA Phase 6",5,6,1 Kanal
30 Marla Full Basement 1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 6 Prime Location,767.0,"DHA Phase 6 - Block N, DHA Phase 6",5,7,1.2 Kanal
ONE KANAL SPANISH FAISAL RASOOL DEGSIN LUXURY DESIGN HOUSE FOR SALE AT A VERY HOT LOCATION NEAR DEFENCE RAYA GOLF CLUB,875.0,"DHA Phase 6 - Block M, DHA Phase 6",5,6,1 Kanal
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 6 Prime Location Read,821.0000000000001,"DHA Phase 6 - Block J, DHA Phase 6",5,7,1 Kanal
5 Marla House Available For Sale In Usman Block Bahria Town Lahore,250.0,"Bahria Town - Usman Block, Bahria Town - Sector B",3,4,5 Marla
Corner House Brand New Fully Furnished Facing Park Top Location House Near To Commercial Market,910.0,"DHA Phase 6 - Block H, DHA Phase 6",5,6,1 Kanal
10 Marla Owner Build Facing Park Home For Sale,375.0,"Jubilee Town - Block B, Jubilee Town",6,7,10 Marla
1 KANAL FULLY FURNISHED BRAND NEW MODERN BUNGALOW NEAR DOLMEN MALL,800.0,"DHA Phase 6 - Block K, DHA Phase 6",5,6,1 Kanal
5 MARLA BRAND NEW UNIQUE & STYLISH HOUSE FOR SALE,275.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
1 KANAL LUXURY DESCENT MODERN HOUSE FOR SALE IN EXECUTIVE LOCATION OF FAZAIA PHASE 1,1045.0,"Fazaia Housing Scheme Phase 1 - Block G, Fazaia Housing Scheme Phase 1",5,6,1 Kanal
2 Kanal Slightly Used Modern Design Well Maintained Owner Build Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid Gold Crest Mall &Amp; Commercial Market.,1650.0,"DHA Phase 3 - Block X, DHA Phase 3",6,7,2 Kanal
1 Kanal House For Sale In Paragon City Lahore,700.0,"Paragon City, Lahore",6,7,1 Kanal
Near To Park,250.0,"Bahria Nasheman - Zinia, Bahria Nasheman",5,5,8 Marla
Exceptional Multi-Level Family Home With Excellent Rental Income Potential,310.0,"Mustafa Town - Abbas Block, Mustafa Town",5,5,5 Marla
Prime Location House For Grabs In 4 Marla Samanabad,235.0,"Samanabad, Lahore",4,4,4 Marla
DHA Phase 6 2 Kanal Ultra Luxury Modern Bungalow 30 KV Solar Swimming Pool 100% Original Deal Near Raya Fairways,2475.0,"DHA Phase 6, DHA Defence",7,7,2 Kanal
12 MARLA CORNER BRAND NEW LUXURY MODERN HOUSE FOR SALE IN SECTOR E RAFAI BLOCK BAHRIA TOWN LAHORE,700.0,"Bahria Town - Rafi Block, Bahria Town - Sector E",5,6,12 Marla
1 KANAL FULL LUXURIOUS HOUSE FOR SALE AT PRIME LOCATION OF DHA PHASE 7 REASONABLE PRICE,625.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
DHA Phase 6 1 KANAL Brand New 70 Feet Road 25 KVA Solar With Green Meter Installed D Block Near DHA Office Dolmen Mall Etc,875.0,"DHA Phase 6 - Block D, DHA Phase 6",5,6,1 Kanal
10 Marla Brand New Design House Prime Hot For Sale dha Phase4,580.0,"DHA Phase 4 - Block KK, DHA Phase 4",4,5,10 Marla
1Kanal Most Beautiful out House For Sale DHA Phase 1,730.0,"DHA Phase 1, DHA Defence",5,6,1 Kanal
5 Marla Brand New Ultra Modern Design House For Sale In Nishter Block,260.0,"Bahria Town - Nishtar Block, Bahria Town - Sector E",3,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",170.0,"Park View City - Platinum Block, Park View City",4,4,5 Marla
5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore For Discounted Price And Original Pictures Download The App Signature Lands,250.0,"Park View City - Executive Block, Park View City",4,4,5 Marla
"5 Marla Brand New Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",235.0,"Park View City - Tulip Overseas, Park View City",4,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",229.99999999999997,"Park View City - Tulip Overseas, Park View City",4,4,5 Marla
5 Marla Grey Structure Available For Sale In Jinnah Block Sector E Bahria Town Lahore,175.0,"Bahria Town - Jinnah Block, Bahria Town - Sector E",3,4,5 Marla
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,315.0,"Park View City, Lahore",5,6,10 Marla
3 Years Instalment Plan Luxury 10 Marla Brand New House In Park View City Lahore,315.0,"Park View City, Lahore",5,6,10 Marla
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,220.00000000000003,"Park View City, Lahore",4,5,5 Marla
Mohsin ALi Designe Furnished House For Sale With Basement At Top Location Near Raya Fairways,921.0000000000001,"DHA Phase 6 - Block D, DHA Phase 6",6,7,1 Kanal
"Fully Renovated House For Sale In Sector-B, Askari-10",844.9999999999999,"Askari 10 - Sector B, Askari 10",5,6,13 Marla
"1 Kanal Double Unit House For Sale In DHA Phase 3 Block X ,Lahore.",750.0,"DHA Phase 3 - Block X, DHA Phase 3",6,6,1 Kanal
Central park Modren Elevation slightly use House available for sale prime location near tooo park and masjid All facilities available here Solar system install . . . .,550.0,"Central Park Housing Scheme, Lahore",6,6,1 Kanal
Ideally Located Prime Location House For Sale In Khayaban-E-Amin - Block A Available,210.0,"Khayaban-e-Amin - Block A, Khayaban-e-Amin",3,4,5 Marla
Stunning House Is Available For sale In Samanabad,585.0,"Samanabad, Lahore",7,6,8 Marla
Prime Location 5 Marla House For Sale In Paragon City - Imperial 2 Block Lahore,260.0,"Paragon City - Imperial 2 Block, Paragon City",3,3,5 Marla
Ideally Located Corner House Of 5 Marla Is Available For Sale In Lahore,225.0,"Park View City - Crystal Block, Park View City",4,4,5 Marla
Studio And 1 Bed Apartments Are Available For Sale,69.87,"Marbella Drive Residency, Raiwind Road",1,1,1.8 Marla
2-Kanal High-End Brand New House for Sale in Prime Location Golf & Park Facing,4800.0,"Defence Raya, DHA Defence",6,7,2 Kanal
100% Original Deal | DHA Phase 6 | 1 Kanal Brand New Ultramodern Luxury Bungalow | Architect: Mazhar Munir | Holizin Home Furniture | Top Notch Construction | Imported Tiles Architect World & Mona Lisa | Fully Furnished | Swimming Pool | 15 KV Solar System Installed | Hot Location Near Park & Mosque,825.0,"DHA Phase 6 - Block M, DHA Phase 6",5,7,1 Kanal
1 Kanal Beautiful Out House For Sale DHA Phase 3 Located Prime,740.0,"DHA Phase 3, DHA Defence",5,6,1 Kanal
1 Kanal Super Out House Prime Hot For Sale dha Phase4,660.0,"DHA Phase 4, DHA Defence",5,6,1 Kanal
1Kanal Beautiful out House Available For Sale DHA Phase 5,869.9999999999999,"DHA Phase 5, DHA Defence",5,6,1 Kanal
"Fully Furnished Apartments in Johar Town Lowest Price, Highest Returns!",45.0,"Johar Town, Lahore",2,2,2.4 Marla
3 Marla House Available For Sale In Canal Valley,145.0,"Canal Valley, Main Canal Bank Road",3,4,3 Marla
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,145.0,"Park View City, Lahore",4,5,5 Marla
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,160.0,"Park View City, Lahore",4,5,5 Marla
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,165.0,"Park View City, Lahore",4,5,5 Marla
18 Marla House For Sale In Heart Of Samanabad,850.0,"Samanabad, Lahore",6,6,18 Marla
5 MARLA ULTRA MODREN HOUSE NEAR TO PARK DIRECT MAIN TO APPROACH IN DHA PHASE,260.0,"DHA Phase 6, DHA Defence",3,4,5 Marla
5 Marla ULTRA Modern House For Sale In DHA Phase 9 Town Lahore,240.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
5 Marla House Available For Sale In Umar Block Sector B Bahria Town Lahore,180.0,"Bahria Town - Umar Block, Bahria Town - Sector B",3,4,5 Marla
5 Marla House Available For Sale In Tipu Sultan Block Extension Sector F Bahria Town Lahore,185.0,"Bahria Town - Tipu Sultan Block Extension, Bahria Town - Sector F",3,4,5 Marla
SYED BROTHERS PROUDLY OFFERS: 2-Kanal Elegant And Fully Maintained Bungalow Is Available In The Best Block Of DHA Lahore.,2200.0,"DHA Phase 5, DHA Defence",6,7,2 Kanal
"Phase 5,1 Kanal House Fully Furnished On Good Location Or Good Reasonable Price",1350.0,"DHA Phase 5 - Block A, DHA Phase 5",4,5,1 Kanal
2 Kanal Luxury House Full Furnished Good Location In D Block In Good Price,4500.0,"DHA Phase 6 - Block D, DHA Phase 6",5,6,2 Kanal
1 KANAL BRAND NEW MODERN HOUSE AVAILABLE FOR SALE IN PRIME LOCATION OF IEP ENGINEERING TOWN,650.0,"IEP Engineers Town - Block C2, IEP Engineers Town - Sector A",7,6,1 Kanal
Defence 1 Kanal Used Well Maintained Owner Build Bungalow Cheapest Price,625.0,"DHA Phase 4, DHA Defence",5,6,1 Kanal
Corner House Of 1 Kanal For sale In DHA Phase 5 - Block J,835.0,"DHA Phase 5 - Block J, DHA Phase 5",4,5,1 Kanal
10 Marla Single Storey House For Sale In Amir Town Harbanspura Lahore,275.0,"Aamir Town, Harbanspura",3,3,10 Marla
1 Kanal Ultra Modern Design Luxurious Bungalow Where You Witness The True Luxury,2100.0,"DHA Phase 6 - Block L, DHA Phase 6",6,6,1 Kanal
Kanal | Walking Distance From Raya | Semi Furnished | Modern Living In DHA,795.0,"DHA Phase 7 - Block W, DHA Phase 7",5,6,1 Kanal
BEAUTIFUL LARGE SWIMMING POOL | 1 KANAL ULTRA TOP-NOTCH LUXURY BUNGALOW | BACK OF RAYA FAIRWAYS | DHA PHASE 7 | 100% ORIGINAL DEAL,749.0,"DHA Phase 7 - Block W, DHA Phase 7",5,6,1 Kanal
1 Kanal Top Quality Build Luxurious Beautiful Ultra Modern Design Villa Full Furnished With Basement For Sale in DHA Lahore Phase 6 Prime Location,910.0,"DHA Phase 6 - Block B, DHA Phase 6",5,6,1 Kanal
Low Budget 3 Marla House Available For Sale In Canal Garden Block E,145.0,"Canal Garden - Block E, Canal Garden",3,3,3 Marla
Prime Location 5 Marla House For Sale,160.0,"Bahria Nasheman - Iris, Bahria Nasheman",3,4,5 Marla
Facing Park 6 Marla Single Storey Cottage,88.0,"Bahria Nasheman - Sunflower, Bahria Nasheman",2,1,6 Marla
BRAND NEW 1 KANAL BEAUTIFULL HOUSE AVAILABLE FOR SALE,1500.0,"Allama Iqbal Town - Nargis Block, Allama Iqbal Town",6,7,1 Kanal
3 MARLA SLIGHTLY USED HOUSE AVAILABLE FOR SALE,180.0,"Allama Iqbal Town - Huma Block, Allama Iqbal Town",3,4,3 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",250.0,"Park View City - Rose Block, Park View City",4,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Tulip Overseas Block Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",215.0,"Park View City, Lahore",4,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",229.99999999999997,"Park View City - Tulip Overseas, Park View City",4,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Tulip Block Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",229.99999999999997,"Park View City, Lahore",4,4,5 Marla
5 Marla House Available For Sale In Lahore Motorway City,74.5,"Lahore Motorway City - Block S, Lahore Motorway City",3,3,5 Marla
7 Marla House Available For Sale In Lahore Motorway City T Block,135.0,"Lahore Motorway City - Block T Prime, Lahore Motorway City",5,5,7 Marla
1 Kanal Double Available For Sale In Lahore Motorway City,455.0,"Lahore Motorway City, Lahore",6,7,1 Kanal
1 KANAL BRAND NEW MODERN HOUSE AVAILABLE FOR SALE IN PRIME LOCATION OF IEP ENGINEERING TOWN,650.0,"IEP Engineers Town, Lahore",6,7,1 Kanal
1 KANAL BRAND NEW MODERN HOUSE AVAILABLE FOR SALE IN CLOSE TO IEP ENGINEERING TOWN,645.0,"IEP Engineers Town, Lahore",6,7,1 Kanal
5 Marla ultra Modern Designer House for sale in DHA Phase 9Town,245.00000000000003,"DHA 9 Town, DHA Defence",3,5,5 Marla
22 Marla Corner Used Modern Design Most Beautiful Double Unit Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Commercial Market,650.0,"DHA Phase 3 - Block X, DHA Phase 3",5,6,1.1 Kanal
"Lda Approved with Gas Supply, Green Meter Connection 10 Marla House For Sale In Northern District Bahria Orchard Phase 1 Lahore",340.0,"Bahria Orchard Phase 1 - Northern, Bahria Orchard Phase 1",5,5,10 Marla
1-Kanal Semi Furnished Spanish Design Luxury Bungalow Design By Faisal Rasul Available for Sale in DHA Phase-6 Near Dolmen Mall.,950.0,"DHA Phase 6, DHA Defence",5,6,1 Kanal
Southern Block . Near Park,380.0,"Bahria Orchard, Lahore",5,5,10 Marla
05 Marla Brand New Bungalow For Sale DHA 11 Rahbar Lahore.,315.0,"DHA 11 Rahbar, Lahore",3,4,5 Marla
Book A 1 Kanal House In DHA Phase 4 - Block DD,1000.0,"DHA Phase 4 - Block DD, DHA Phase 4",5,6,1 Kanal
Bungalow 14 Marla (Corner),670.0,"Cantt, Lahore",7,3,14 Marla
"5 Marla Grey Structure Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",150.0,"Park View City - Overseas Block, Park View City",4,4,5 Marla
Brand New Like House For Sale In Jubilee Town Lahore,204.99999999999997,"Jubilee Town, Lahore",5,6,5 Marla
3 MARLA BRAND NEW HOUSE AVAILABLE FOR SALE,275.0,"Allama Iqbal Town - Huma Block, Allama Iqbal Town",4,4,3 Marla
Ideal Facing Park House In Lahore Available For Rs. 27500000,275.0,"Pak Arab Society Phase 2 - Block E, Pak Arab Housing Society Phase 2",4,5,5 Marla
3 Years Installments Plan 1.5 Storey 5 Marla Brand New House For Sale In Park View City,145.0,"Park View City, Lahore",4,5,5 Marla
3 Years Instalment Plan Luxury 1.5 Story 5 Marla Brand New House For Sale In Park View City Lahore,135.0,"Park View City, Lahore",3,2,5 Marla
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,315.0,"Park View City, Lahore",5,6,10 Marla
5 Marla House Available For Sale In Lahore Motorway T Block,93.5,"Lahore Motorway City - Block T, Lahore Motorway City",5,4,5 Marla
5 Marla Grey Structure House Available For Sale In Lahore Motorway City,58.5,"Lahore Motorway City, Lahore",3,3,5 Marla
7 Marla Double StorEy House Available For Sale In Lahore Motorway City,142.0,"Lahore Motorway City, Lahore",5,5,7 Marla
5 Marla Triple Storey House Available In Lahore Motorway City,99.5,"Lahore Motorway City, Lahore",5,5,5 Marla
3.5 Marla Single Storey House Available In R Block Lahore Motorway City,54.75,"Lahore Motorway City, Lahore",2,2,3.5 Marla
3.5 Marla Double Storey House Available For Sale In R Block Lahore Motorway City,70.0,"Lahore Motorway City - Block R, Lahore Motorway City",3,3,3.5 Marla
3 Marla House For sale In Al kabir Town Phase 2 Lahore,120.0,"Al-Kabir Town - Phase 2, Al-Kabir Town",3,3,3 Marla
Centrally Located Prime Location Brand New House Available In Lahore Motorway City - Block T For Sale,128.0,"Lahore Motorway City - Block T Prime, Lahore Motorway City",4,5,5 Marla
